,13C,15N,pixel,12C13C,12C,12C15N,12C14N,C_all_ions,N_all_ions
0,0.03277165,0.009685689,68,4199,15888,2591,22114,20087,24705
1,0.0332015,0.009883714,134,6911,25811,4369,36542,32722,40911
2,0.03241283,0.009386661,177,9366,35831,5979,52656,45197,58635
3,0.03049681,0.008884715,134,6985,28401,4166,38762,35386,42928
4,0.03192226,0.009580161,61,4742,18420,2916,25162,23162,28078
5,0.03148663,0.009140302,104,7910,31151,4797,43385,39061,48182
6,0.03336072,0.01041031,68,3275,12173,2316,18391,15448,20707
7,0.03099624,0.01206144,125,6176,24707,5684,38957,30883,44641
8,0.03173975,0.009248514,142,8474,33106,5225,46703,41580,51928
9,0.03468528,0.009417228,89,6313,22569,3621,31786,28882,35407
10,0.034572,0.01107886,78,4457,15986,3795,28317,20443,32112
11,0.03216369,0.009041346,61,4063,15664,2200,20115,19727,22315
12,0.03091661,0.009942132,68,3615,14499,2300,19124,18114,21424
13,0.03089261,0.01016448,248,10428,41857,7058,57402,52285,64460
14,0.03096619,0.008980165,61,3893,15589,2302,21191,19482,23493
15,0.03303653,0.008717159,64,3946,14811,2204,20901,18757,23105
16,0.03298795,0.009251421,61,4945,18588,2809,25100,23533,27909
17,0.03107896,0.01003968,89,5412,21593,3795,31248,27005,35043
18,0.03484976,0.01052,134,10270,36542,6601,51871,46812,58472
19,0.03549081,0.008996251,125,9450,33017,4915,45164,42467,50079
20,0.03226237,0.008333204,104,9258,35583,4659,46218,44841,50877
21,0.03444531,0.01027892,89,8858,31888,5100,41016,40746,46116
22,0.03201641,0.008467819,104,7930,30713,4357,42535,38643,46892
23,0.0318253,0.009838048,104,6141,23927,3635,30544,30068,34179
24,0.0330522,0.009410466,64,4570,17145,2627,23077,21715,25704
25,0.03228772,0.009177842,61,4344,16683,2222,20014,21027,22236
26,0.03357536,0.009916659,104,8950,33054,5462,45532,42004,50994
27,0.03291167,0.009560646,61,5634,21227,3398,29381,26861,32779
28,0.03243824,0.008540484,62,4477,17114,2620,25360,21591,27980
29,0.0324844,0.008842519,142,10745,41016,6133,57336,51761,63469
30,0.02937905,0.009092965,44,4001,16887,2224,20219,20888,22443
31,0.03242306,0.008363828,96,8151,31173,4416,43647,39324,48063
32,0.02955035,0.01097425,44,1962,8233,1098,8271,10195,9369
33,0.03375497,0.00986354,177,10923,40126,6981,58508,51049,65489
34,0.03210372,0.01051476,89,7628,29463,4977,39129,37091,44106
35,0.03375785,0.009404242,78,6053,22234,3091,27171,28287,30262
36,0.0310821,0.008473354,108,9275,37002,5022,48995,46277,54017
37,0.03316679,0.009343084,154,12257,45825,7094,62767,58082,69861
38,0.03211216,0.008388655,125,11535,44542,5907,58211,56077,64118
39,0.03428871,0.008910681,108,10593,38308,5641,52333,48901,57974
40,0.03247877,0.008601029,104,9911,37839,5492,52785,47750,58277
